sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
06,window,audio,33,36,-0.00786811113357544,-0.009562939405441284
06,window,vision,1,5,-0.01411205530166626,-0.021791577339172363
06,window,vision,5,9,-0.0058893561363220215,-0.00916963815689087
06,window,vision,9,13,-0.02081376314163208,-0.027561843395233154
06,window,vision,13,17,-0.023619234561920166,-0.024300456047058105
06,window,vision,17,21,-0.0011286735534667969,0.00031322240829467773
06,window,vision,21,25,-0.031223595142364502,-0.05353188514709473
06,window,vision,25,29,-0.01000887155532837,-0.0268709659576416
06,window,vision,29,33,-0.0010758042335510254,-0.004738926887512207
06,window,vision,33,36,-0.000448763370513916,-0.011195480823516846
07,modality,text,-1,-1,0.5925111174583435,1.065600037574768
07,modality,audio,-1,-1,-0.017668724060058594,-0.0710371732711792
07,modality,vision,-1,-1,0.08707535266876221,0.2941854000091553
07,window,text,1,5,-0.010258376598358154,-0.0337909460067749
07,window,text,5,9,-0.0012523531913757324,0.007753133773803711
07,window,text,9,13,-0.00898885726928711,-0.03305172920227051
07,window,text,13,17,0.10104405879974365,0.24131625890731812
07,window,text,17,21,0.0018457770347595215,-0.01624906063079834
07,window,text,21,25,0.010385394096374512,0.06282377243041992
07,window,text,25,29,0.04508984088897705,0.15089046955108643
07,window,text,29,33,-0.0045011043548583984,-0.02479875087738037
07,window,text,33,37,-0.011635422706604004,-0.04854011535644531
07,window,text,37,41,-0.019859790802001953,-0.06671738624572754
07,window,text,41,45,-0.0013247132301330566,0.017216920852661133
07,window,text,45,49,0.023654580116271973,0.1344759464263916
07,window,audio,1,5,-0.0023809075355529785,-0.01005709171295166
07,window,audio,5,9,-0.0015549063682556152,-0.008706092834472656
07,window,audio,9,13,-0.0013223886489868164,-0.003817915916442871
07,window,audio,13,17,-0.004144608974456787,-0.011926412582397461
07,window,audio,17,21,-0.0012905597686767578,-0.007273674011230469
07,window,audio,21,25,0.004303455352783203,0.02219367027282715
07,window,audio,25,29,0.0004159212112426758,0.0007801055908203125
07,window,audio,29,33,-0.0011270642280578613,-0.005016326904296875
07,window,audio,33,37,-0.0013592243194580078,-0.0055904388427734375
07,window,audio,37,41,-0.003325819969177246,-0.009908795356750488
07,window,audio,41,45,-0.004855096340179443,-0.018067240715026855
07,window,audio,45,49,-0.001935720443725586,-0.00906670093536377
07,window,vision,1,5,-0.002220749855041504,-0.008418679237365723
07,window,vision,5,9,-0.0008096098899841309,-0.0031273365020751953
07,window,vision,9,13,-0.0007184147834777832,-0.0009180307388305664
07,window,vision,13,17,0.003906846046447754,0.013635993003845215
07,window,vision,17,21,0.012250840663909912,0.05141472816467285
07,window,vision,21,25,0.014558911323547363,0.06809735298156738
07,window,vision,25,29,0.00587540864944458,0.02754521369934082
07,window,vision,29,33,0.005652964115142822,0.018988370895385742
07,window,vision,33,37,0.0011118054389953613,0.005128622055053711
